2.069914808089379221e-05,1.199722282763104886e-05,2.613295873743481934e-05,2.600340667413547635e-05,-1.424322181264869869e-05,5.194668483454734087e-05,1.763532236509490758e-05,4.310191434342414141e-04,1.491678540332941338e-05,1.518691442470299080e-05,3.045198900508694351e-05,1.443519431632012129e-05,1.818565579014830291e-05,1.640061418584082276e-05,1.424107176717370749e-05,3.033143002539873123e-05,2.009150375670287758e-05,1.907406294776592404e-05,1.907406112877652049e-05,3.750300311367027462e-05,3.824814120889641345e-05,2.634159136505331844e-05
4.150892436882713810e-06,1.193985917780082673e-05,1.920814247569069266e-05,1.679996421444229782e-05,-1.305555542785441503e-05,4.150772656430490315e-05,9.559370482747908682e-06,5.327736143954098225e-04,1.952160528162494302e-05,-6.291176077866111882e-07,1.611799234524369240e-05,2.259681650684797205e-06,1.066954064299352467e-05,8.341990906046703458e-06,9.151231097348500043e-06,2.439519812469370663e-05,1.670522760832682252e-05,-8.476022799186466727e-07,1.501830320194130763e-05,2.310261515958700329e-05,4.764546702062943950e-06,2.287869938299991190e-05
6.557522738148691133e-06,5.515759767149575055e-06,5.728304586227750406e-06,5.221206265559885651e-06,-2.172023232560604811e-05,4.885515591013245285e-05,4.230000286042923108e-06,6.209338898770511150e-04,9.975646207749377936e-06,2.556683966759010218e-06,1.196236462419619784e-05,-7.666092187719186768e-07,7.988833203853573650e-06,-1.314676410402171314e-06,-4.132355570618528873e-06,1.559388510941062123e-05,1.038640493788989261e-05,3.982789621659321710e-06,1.180500476039014757e-05,2.125840182998217642e-05,4.183223609288688749e-06,2.521524402254726738e-05
4.872664703725604340e-06,1.377632770527270623e-06,-2.782634965114993975e-06,9.658124326961115003e-06,-1.785815402399748564e-05,4.115854972042143345e-05,4.149638243688968942e-06,6.192723521962761879e-04,-2.080593617392878514e-07,-1.174593035102589056e-05,1.142453766078688204e-05,7.044304311421001330e-06,8.946679372456856072e-06,7.316373739740811288e-06,2.314381077894722694e-07,8.148244887706823647e-06,4.126108706259401515e-06,3.111050546067417599e-06,9.242367013939656317e-06,8.938729479268658906e-06,9.618463536753552034e-07,2.327923357370309532e-05
9.846053217188455164e-06,1.736745275593420956e-06,1.236887896993721370e-06,4.844695467909332365e-06,-1.638412322790827602e-05,3.778524114750325680e-05,1.128628082369687036e-05,5.935178487561643124e-04,5.123831215314567089e-06,-4.512730811256915331e-06,1.085578423953847960e-05,-1.773802978277672082e-06,7.492074928450165316e-06,1.250693003385094926e-06,-6.794396085751941428e-06,1.970468474610242993e-05,3.448054712862358429e-06,-1.002932421556579357e-07,4.906373305857414380e-06,7.611102773807942867e-06,-3.647263156381086446e-06,2.341573963349219412e-05
3.343549906276166439e-06,9.436755135538987815e-06,3.831830326816998422e-06,-2.214397454736172222e-06,-1.024046741804340854e-05,2.530528217903338373e-05,7.229357834148686379e-06,6.169885164126753807e-04,6.514161213999614120e-06,-1.894946421998611186e-06,8.717426680959761143e-06,-4.484938642690394772e-07,3.664933274194481783e-06,6.380295417329762131e-06,-1.503418616266571917e-06,6.461900738941039890e-06,5.127802523929858580e-06,2.801466735036228783e-06,3.452476676102378406e-06,8.416600394411943853e-06,-5.866381343366811052e-06,2.376248085056431592e-05
9.448910532228183001e-06,7.028936579445144162e-06,2.112333135073640733e-07,-5.044120371167082340e-06,-1.175813304143957794e-05,3.220276266802102327e-05,1.191423962154658511e-06,5.456859362311661243e-04,7.546170309069566429e-06,-2.826876198014360853e-06,9.593569302523974329e-06,-2.320578460057731718e-06,3.463272605586098507e-06,9.340136784885544330e-06,-4.914610599371371791e-06,9.860751561063807458e-06,6.352995114866644144e-06,5.164428102943929844e-07,4.052053100167540833e-06,4.718123818747699261e-06,-5.256552412902237847e-06,2.839248190866783261e-05
8.157171578204724938e-06,1.020918944050208665e-06,4.557406555250054225e-06,-2.007668399528483860e-06,2.529115135985193774e-06,2.400823359494097531e-05,4.160190655966289341e-06,4.655450466088950634e-04,7.084565822879085317e-06,2.531329982957686298e-06,7.702813491050619632e-06,-8.592624908487778157e-06,3.218484152966993861e-06,2.346394694541231729e-06,-8.357051228813361377e-06,4.810764494322938845e-06,5.932142812525853515e-06,6.110881713539129123e-06,2.204918928327970207e-06,9.165374876829446293e-07,-3.699181434058118612e-06,2.565838440204970539e-05
5.316824626788729802e-06,3.910546126917324727e-07,1.039462949847802520e-05,-2.381050450139809982e-07,-3.812594059127150103e-06,2.360498547204770148e-05,9.564319952914956957e-06,4.038500483147799969e-04,7.481357897631824017e-06,3.365550128364702687e-06,4.740184067486552522e-06,-5.399771794145635795e-07,4.984744009561836720e-06,5.252016308077145368e-06,-6.861685506009962410e-06,1.000913471216335893e-05,4.662566425395198166e-06,1.267650077352300286e-05,2.788980737022939138e-06,1.823632715058920439e-06,-1.616059989828499965e-06,2.651077011250890791e-05
-2.001119810302043334e-06,-1.978162799787241966e-06,5.523404979612678289e-06,6.430092071241233498e-06,-1.524734472013733466e-07,3.651949737104587257e-05,9.663391210779082030e-06,4.105730331502854824e-04,1.336741934210294858e-05,3.241427975808619522e-06,4.685769454226829112e-06,-6.394954198185587302e-06,-3.628466913596639642e-07,5.580641300184652209e-06,-1.273520229005953297e-05,6.175677754072239622e-06,6.041585493221646175e-06,1.416697705280967057e-05,-1.944371661011246033e-06,5.357849659048952162e-06,-1.664416345192876179e-06,2.397757998551242054e-05
