,OnP,OnT,OnTP,OnFP,OnTN,OnFN,OffP,OffT,OffTP,OffFP,OffTN,OffFN,RUP,RUT,RUTP,RUFP,RUTN,RUFN,RDP,RDT,RDTP,RDFP,RDTN,RDFN,OtherP,OtherT
Full,35877,37205,23969,11908,104792,13236,33928,36988,24622,9306,104792,12366,33792,36863,23101,10691,106351,13762,29914,34818,19374,10540,108547,15444,20394,18379
Chr,61388,37205,23403,37985,78715,13802,37020,36988,19270,17750,78715,17718,23741,36863,9339,14402,102640,27524,8551,34818,3037,5514,113573,31781,23205,18379
Exp,35078,37205,22746,12332,104368,14459,29198,36988,19613,9585,104368,17375,37881,36863,23260,14621,102421,13603,29761,34818,18807,10954,108133,16011,21987,18379
Full,30101,37205,21139,8962,107738,16066,32676,36988,23854,8822,107738,13134,35409,36863,23945,11464,105578,12918,35197,34818,22113,13084,106003,12705,20522,18379
Chr,63127,37205,22874,40253,76447,14331,42702,36988,21025,21677,76447,15963,20187,36863,8155,12032,105010,28708,5284,34818,1783,3501,115586,33035,22605,18379
Exp,36202,37205,23304,12898,103802,13901,34394,36988,21973,12421,103802,15015,32645,36863,20382,12263,104779,16481,28717,34818,18147,10570,108517,16671,21947,18379
