,OnP,OnT,OnTP,OnFP,OnTN,OnFN,OffP,OffT,OffTP,OffFP,OffTN,OffFN,RUP,RUT,RUTP,RUFP,RUTN,RUFN,RDP,RDT,RDTP,RDFP,RDTN,RDFN,OtherP,OtherT
Full,55913,55432,47158,8755,103723,8274,58990,54806,46887,12103,103723,7919,16510,19815,9340,7170,140925,10475,16993,16920,9071,7922,143068,7849,19504,21581
Chr,46164,55432,23482,22682,89796,31950,90344,54806,41550,48794,89796,13256,2421,19815,611,1810,146285,19204,7796,16920,1119,6677,144313,15801,21185,21581
Exp,51017,55432,43273,7744,104734,12159,44759,54806,34179,10580,104734,20627,30256,19815,10807,19449,128646,9008,22224,16920,10128,12096,138894,6792,19654,21581
Full,54122,55432,45415,8707,103771,10017,63800,54806,49040,14760,103771,5766,11808,19815,6911,4897,143198,12904,17447,16920,8751,8696,142294,8169,20733,21581
Chr,41072,55432,20831,20241,92237,34601,93208,54806,41551,51657,92237,13255,786,19815,198,588,147507,19617,11420,16920,1582,9838,141152,15338,21424,21581
Exp,52267,55432,44274,7993,104485,11158,44768,54806,34179,10589,104485,20627,29987,19815,10771,19216,128879,9044,20761,16920,9821,10940,140050,7099,20127,21581
