,OnP,OnT,OnTP,OnFP,OnTN,OnFN,OffP,OffT,OffTP,OffFP,OffTN,OffFN,RUP,RUT,RUTP,RUFP,RUTN,RUFN,RDP,RDT,RDTP,RDFP,RDTN,RDFN,OtherP,OtherT
Full,44231,46869,35894,8337,99254,10975,42520,46720,33716,8804,99254,13004,24686,25906,14585,10101,118453,11321,19437,21423,11233,8204,124833,10190,23586,21110
Chr,58957,46869,27898,31059,76532,18971,38771,46720,22501,16270,76532,24219,22107,25906,6459,15648,112906,19447,6866,21423,1767,5099,127938,19656,27759,21110
Exp,46381,46869,36554,9827,97764,10315,36718,46720,25802,10916,97764,20918,29579,25906,13417,16162,112392,12489,18002,21423,10295,7707,125330,11128,23780,21110
Full,43800,46869,35554,8246,99345,11315,43486,46720,34284,9202,99345,12436,24311,25906,14530,9781,118773,11376,19691,21423,11141,8550,124487,10282,23172,21110
Chr,72969,46869,33002,39967,67624,13867,40101,46720,22907,17194,67624,23813,14954,25906,4558,10396,118158,21348,2765,21423,845,1920,131117,20578,23671,21110
Exp,44666,46869,35282,9384,98207,11587,39187,46720,27272,11915,98207,19448,27318,25906,12446,14872,113682,13460,19464,21423,10600,8864,124173,10823,23825,21110
