Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
trimmed | H3K4me3_Endo_rep1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | H3K4me3_Endo_rep2										0.003719603370199304	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | H3K4me3_Endo_rep3										0.002153610156928816	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | H3K4me3_Mesecto_rep1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | H3K4me3_Mesecto_rep2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | H3K4me3_Mesecto_rep3										0.0032162599269629282	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | H3K79me3_Endo_rep1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | H3K79me3_Mesecto_rep1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | H3K9me3_Endo_rep1										0.0011023104300974206	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | H3K9me3_Endo_rep2										0.0020991189146694275	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | H3K9me3_Endo_rep3										0.014549897143435804	0.006168842553505919	0.044798596942044966	0.070919833225473	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | H3K9me3_Mesecto_rep1										0.0010478638514795995	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | H3K9me3_Mesecto_rep2										0.00510469419951983	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | H3K9me3_Mesecto_rep3										0.10857152081709424	0.013302865460069896	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | Input_Endo_rep1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | Input_Endo_rep2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | Input_Endo_rep3										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | Input_Mesecto_rep1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | Input_Mesecto_rep2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
trimmed | Input_Mesecto_rep3										0.0011356582574282208	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H2AH4SerP_Endo_rep2										66.85299269978898	2.0162995719911425	2.1100056163842194	0.163001267324195	0.3889409879591227	0.15814819048743334	12.903856857523335																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H2AH4SerP_Endo_rep3										17.385961601785212	1.4880591800304857	1.0718215483627451	0.0350832519582258	0.06153747897832874	0.0	0.5154709779938266																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H2AH4SerP_Mesecto_rep2										16.918297918041155	1.1205194961723188	0.9138939357494062	0.22486451166831883	0.6402942379455083	0.5979602973854777	22.264589581416416																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H2AH4SerP_Mesecto_rep3										10.346922060913903	1.202767794797336	0.8782297060720393	0.27483843099502614	1.0976204206757303	0.07160251537647999	27.28057056480018																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H2AUb_Endo_rep2										4.017561510142886	0.5569451893193025	0.524548371001692	0.02646583596873523	0.0	0.04756455089669124	1.4575343601515351																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H2AUb_Endo_rep3										30.249202842617763	0.9091122711091212	1.0240216029647011	0.12489405827044811	0.0661334546859958	0.0	1.893997007026053																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H2AUb_Mesecto_rep2										2.9910028580455794	0.8917181052381429	0.9842310471915275	0.10057636266051369	0.018128778862547396	0.0	0.8507327601765454																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H2AUb_Mesecto_rep3										16.26912768135141	0.87442919667935	0.9222158528135214	0.15592723277777137	0.13962392410069524	0.0	2.8188294172201522																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H2Ax3_Endo_rep2										35.76654761346893	0.503329459087563	0.1814731257877303	0.0	0.0	0.07089642490949224	0.5813035468828806																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H2Ax3_Endo_rep3										14.853775958875696	1.3647787076867928	1.1442100430017714	0.09536045050346643	0.08895778934290527	0.0	3.9855014931877846																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H2Ax3_Mesecto_rep2										5.518117635643201	1.4857855362357453	1.6992193736945906	0.12578609332212876	0.03912188679867936	0.0	1.4995492108630641																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H2Ax3_Mesecto_rep3										71.23205712480552	3.571052926103741	2.11514843070555	0.07855011422874705	0.09234124143648353	0.0	3.8432926827829403																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K27ac_Endo_rep1										2.421901318419452	0.4105350853567991	0.1592646251870551	0.0	0.009649682152538386	0.0	0.3774441589226967																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K27ac_Endo_rep2										3.3617986215335676	1.0624523005693336	1.333763464826006	0.10298048089281149	0.09722057143082148	0.0	2.8838327576272493																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K27ac_Endo_rep3										18.963638201287907	0.9511668206085233	1.0853244106004607	0.048096720286641616	0.007905014569606524	0.0	0.3978973972581375																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K27ac_Mesecto_rep1										2.8801466113158583	0.7173781338204492	0.6582065124154318	0.0655761685997094	0.008935752780806031	0.0	0.22317532589451786																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K27ac_Mesecto_rep2										4.101692097999166	0.9869817619236921	0.9088620669920253	0.04934126000897874	0.006009448207256513	0.0214538705948379	0.05679867440968053																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K27ac_Mesecto_rep3										39.10496664624115	1.3606993248144141	1.8624852475620648	0.08381653176937118	0.06294041505175733	0.0	4.381549330846975																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K27me3_Endo_rep1										5.776076674765808	0.7158960238325596	0.6619763943192666	0.0710904158305579	0.021640322981836803	0.0241611522353978	1.6322806992851782																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K27me3_Endo_rep2										9.698803527789664	0.2882258085531798	0.159412418657923	0.0	0.018425085223370483	0.0	0.07729130877924323																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K27me3_Endo_rep3										62.34145161171438	1.0350060158264052	0.7009208718902217	0.07617505510310012	0.012934180879175706	0.0	1.0386986866627312																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K27me3_Mesecto_rep1										4.721818732085844	0.9836781605956619	0.9410249783373548	0.07905198079573915	0.01714449714365054	0.049505499720339644	0.0631013311555386																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K27me3_Mesecto_rep2										9.872417126966985	0.8520319920618321	0.5448163676947316	0.04358979346758555	0.003965802636646855	0.0	0.1264992465527386																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K27me3_Mesecto_rep3										53.27655545194312	1.304578057136402	0.6216652709932735	0.04715372968326526	0.08422446996756136	0.0	2.8387800307008755																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K36me3_Endo_rep1										4.801550058521553	0.8847238876361553	0.9816324944321122	0.03511463841171025	0.009662356028126068	0.03195901218379343	1.8686076103529559																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K36me3_Endo_rep2										2.8538368525473974	0.7623849953380988	0.6004506405813871	0.0	0.0	0.037934691567528586	0.12424038352553304																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K36me3_Endo_rep3										53.75164955065187	1.6581475062654683	1.3553853352773344	0.05630351609507135	0.06579690762414614	0.0	3.813421169998731																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K36me3_Mesecto_rep1										3.6914644389323583	0.912868026274081	1.136033797059441	0.056111014689532945	0.005492186969358274	0.0	0.1996034934086436																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K36me3_Mesecto_rep2										22.51050836158103	0.2813249919117295	0.0750067301680976	0.024809328920449934	0.0	0.0	1.6664334256129745																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K36me3_Mesecto_rep3										4.902865861534711	1.1921273223901305	1.3442518120177347	0.11592003315816216	0.2980139943542346	0.2092911226750668	12.18967399240325																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K4me1_Endo_rep1										2.0619486352399807	0.5058957588136739	0.49876799652028386	0.00460616531045379	0.004330551799401955	0.0	0.13891011912640688																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K4me1_Mesecto_rep1										3.3385990923776228	0.6178794114807371	0.40283110574732334	0.03791209478789485	0.03690881502746533	0.024329129396858256	0.06664973039879																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K4me2_Endo_rep1										5.621516057525742	1.2592663882141382	0.5490832329897387	0.021362090272567056	0.04804354994130393	0.0	0.9584555573708391																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K4me2_Mesecto_rep1										4.615676559668653	1.2808568939185192	1.3678963637465862	0.08803290099931563	0.1754491547333109	0.0	0.2862175528883398																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K4me3_Endo_rep1										4.478708048335851	1.250116957595428	1.936083589688251	0.08190619831475983	0.0745678818300769	0.0	0.20029282332730106																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K4me3_Endo_rep2										58.202882938360425	0.5343670494947469	0.24756927577424034	0.06819682064821432	0.07948484447480778	0.054528839488367814	4.284172815745406																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K4me3_Endo_rep3										43.335552412230484	0.4310828274174667	0.24903033470747657	0.04290112781207686	0.06514006930307167	0.018676678754426516	2.9022235558355645																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K4me3_Mesecto_rep1										4.230569635486922	1.1038092174543797	1.1435396313375592	0.04901508774312443	0.011759312596363019	0.027944882786808883	0.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K4me3_Mesecto_rep2										36.379736044052656	0.8851220214890034	1.0564072353532215	0.08599318196377528	0.022474177107608125	0.0	0.44572941046462317																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K4me3_Mesecto_rep3										72.36184094844153	8.455935804279083	1.1249989407845695	0.07810307236549545	0.20993107839848063	0.10957349839554288	4.90730603098366																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K79me3_Endo_rep1										7.223738237138523	0.987980115194318	0.5041893891968084	0.12237342426871889	0.24982119842861597	0.015436369680122002	6.406003195546564																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K79me3_Mesecto_rep1										4.4988123615494	1.1102359226144731	1.0715655136997433	0.09998019006118865	0.02379824424959029	0.0	0.11375671043632023																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K9me3_Endo_rep1										5.885513438349372	2.183954998313535	3.424257684703575	0.27746008848173026	1.03648415894259	1.7646329760470716	2.3459991527186213																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K9me3_Endo_rep2										7.1802336081186775	2.9354048361559153	5.371421400061483	1.3527395727337626	0.4245720435915004	0.03890747131038731	0.8222119125080661																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K9me3_Endo_rep3										52.94035394961685	4.291855369262292	4.5041385929943445	0.5191475451059511	0.4355492487070391	0.0	13.112460365601855																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K9me3_Mesecto_rep1										6.253554107391497	2.3058196202663312	3.234682038157234	0.24187610562378756	0.10733479592272709	0.05434309384850276	0.8708207233238409																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K9me3_Mesecto_rep2										8.384189268528548	3.968985275711981	8.506345819369146	2.27305772889276	1.250998463627198	0.06096057843780567	3.0234564335480227																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | H3K9me3_Mesecto_rep3										10.836126138441037	3.669256385782291	7.2386762836114755	0.5327449474131494	0.7565095046799639	0.0	18.855669849513504																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | Input_Endo_rep1										4.174849680407718	0.7760063570657139	0.6780089737747227	0.028712313181715955	0.007216039927489734	0.0	0.1926550387718896																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | Input_Endo_rep2										4.139214013118212	1.3180384018872227	1.4969222501425794	0.10824423827779375	0.08703243628044012	0.017837975407336143	2.499225093848549																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | Input_Endo_rep3										3.4488841995527437	0.9653307269746302	1.2343509628240374	0.06429837656257648	0.008369583694317364	0.0	0.20783066921935042																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | Input_Mesecto_rep1										5.896242475057258	1.6174467538315973	0.4344316848822363	0.011070460275915574	0.0035944073084491442	0.0	0.037575453026166244																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | Input_Mesecto_rep2										2.1531568369719585	0.30333454894136436	0.17456090968092686	0.0784656784918362	0.08056767530460496	0.0	2.947052746610979																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
untrimmed | Input_Mesecto_rep3										13.8025659185995	0.4703490247614287	0.2803416852327849	0.018170364246267633	0.0	0.0	1.3458564199366034																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
