Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
trimmed | H2AH4SerP_Endo_rep2	9662.0	9551.0	5723.5	1717.0	1370.5	1373.5	1346.0	1409.0	1581.0	1977.5	2452.5	3331.5	4275.0	6063.0	7929.0	10969.0	14052.5	18906.0	23788.5	31390.0	38962.5	49692.0	60498.5	74540.5	88575.0	104380.0	133334.5	153149.0	173560.0	193978.5	215482.5	236860.5	257236.0	277030.0	295497.5	312688.5	327988.5	342256.0	351836.5	358843.0	360927.0	360425.0	354316.5	346024.5	333864.0	320984.5	305685.0	288658.0	269394.5	250484.0	231035.5	211689.5	191762.5	171906.5	152431.0	133976.5	117807.0	102261.0	89051.0	76904.0	66883.0	57601.5	50246.0	43814.0	38147.5	32953.0	28750.0	24819.5	21870.0	19156.5	16877.0	14755.0	13148.5	11541.0	10145.0	8508.0	7665.0	6805.0	5978.5	5202.5	4465.0	3844.5	3240.5	2872.5	2534.0	2197.0	1848.5	1687.0	1560.5	1520.5	1477.0	1377.0	1253.5	1061.5	871.0	694.0	540.0	543.5	555.5	381.5	206.0
trimmed | H2AH4SerP_Endo_rep3	20.0	31.0	43.0	75.5	114.5	164.0	210.0	322.5	449.0	726.0	999.5	1610.5	2240.0	3717.5	5238.0	8116.5	11034.5	16443.0	21970.0	31000.0	40142.0	54081.5	68107.5	86522.5	105196.0	127856.5	168905.5	197584.5	229486.5	261700.0	295418.0	329184.5	362375.5	394512.5	424870.5	453361.5	477874.5	501087.5	519179.5	533527.5	538842.0	540854.0	534104.0	522992.5	506841.5	488613.0	465299.5	441180.5	413763.0	384630.0	352876.5	321902.5	290698.0	259715.0	229819.0	201380.5	175344.0	150997.5	130624.0	111100.0	95493.5	81560.0	69941.0	59451.0	50874.5	43242.5	37417.5	31977.0	27556.0	23417.5	20265.5	17396.0	15232.5	13195.5	11529.5	9377.0	8342.5	7235.5	6140.0	5320.5	4515.0	3911.5	3318.0	2874.5	2483.5	2168.5	1824.0	1626.0	1443.0	1348.5	1307.0	1254.5	1154.0	963.0	753.5	565.5	430.0	399.0	357.0	233.0	108.0
trimmed | H2AH4SerP_Mesecto_rep2	2196.0	2144.0	1272.0	431.0	399.0	409.5	425.5	532.0	659.5	877.0	1104.0	1674.0	2275.5	3460.0	4664.5	6818.5	9015.0	12862.5	16795.5	22866.5	28896.5	37151.0	45547.0	56359.5	67189.0	79947.5	102448.0	117009.5	132488.0	148700.0	165132.0	180868.5	196165.5	210727.0	223785.5	236377.0	247353.0	256348.5	261939.0	266651.0	267016.5	265370.0	259569.5	252027.5	242071.5	230995.0	218165.0	205030.0	190205.0	175376.0	160513.0	145689.0	130194.0	114962.0	100729.5	87348.5	75707.0	64597.0	55341.5	47023.5	40167.5	33834.5	28746.0	24239.5	20725.0	17438.0	14733.0	12278.5	10505.0	8915.5	7614.0	6384.5	5501.0	4664.5	4037.0	3324.5	3004.5	2705.0	2422.5	2170.5	1903.0	1636.5	1378.0	1246.0	1140.0	979.0	800.0	704.5	611.0	583.5	580.5	549.0	501.0	432.0	358.5	253.5	167.5	205.0	236.0	166.5	96.0
trimmed | H2AH4SerP_Mesecto_rep3	593.0	559.5	333.0	116.5	89.0	84.5	82.0	88.5	95.5	121.5	158.0	207.0	248.0	374.0	518.5	761.5	1007.5	1329.0	1661.0	2211.0	2763.5	3618.0	4474.5	5582.0	6712.0	8006.0	10508.0	12414.5	14656.5	17071.5	20295.5	23812.5	28024.0	32444.5	38389.5	45038.5	53395.0	62475.5	73094.5	84461.5	96553.5	108461.5	119605.5	129987.0	137989.5	144754.0	148859.0	151364.5	150634.0	148764.0	143398.0	137255.0	128406.0	118914.5	108621.0	98143.0	87573.0	77391.5	68432.5	59931.5	52379.5	45008.5	38792.5	33389.5	28743.5	24537.5	21282.0	18125.0	15598.0	13304.5	11460.5	9689.0	8542.0	7468.5	6427.0	5162.0	4643.0	4228.5	3799.0	3318.5	2816.0	2424.0	2077.5	1843.0	1598.0	1354.5	1123.5	1010.0	903.0	886.0	863.5	769.5	664.5	543.5	426.5	306.0	199.5	207.5	217.0	146.0	71.0
trimmed | H2AUb_Endo_rep2	36.0	44.5	50.5	68.0	96.5	150.0	203.0	298.5	401.0	648.0	911.5	1468.0	2021.0	3330.5	4709.0	7607.0	10526.0	16161.5	21932.0	31499.5	41150.0	55745.0	70509.5	91580.0	112959.0	138590.5	185762.0	219111.0	255972.0	293837.0	334081.5	373865.0	414473.0	455144.0	492384.5	527421.0	559380.5	588297.0	609359.0	627448.0	636307.5	640575.5	635604.0	626858.5	609879.0	589665.5	563628.5	535205.0	501838.5	467590.5	430892.5	393939.5	355725.0	318394.5	283510.5	250215.0	219657.0	190312.5	165632.0	142762.5	123987.0	107028.0	92616.0	79723.0	69449.5	59949.5	52117.0	44946.5	39326.5	33997.0	29628.0	25605.5	22352.5	19204.0	16671.0	13231.0	11432.0	9826.5	8227.5	6957.0	5726.0	4851.5	3980.0	3260.0	2602.0	2103.5	1593.5	1329.5	1081.5	920.0	759.0	615.5	490.0	403.0	337.5	271.0	196.5	158.0	133.0	99.0	64.0
trimmed | H2AUb_Endo_rep3	40.0	40.5	50.5	85.0	113.0	137.5	171.0	230.5	296.5	453.5	622.0	956.0	1288.0	1974.5	2708.5	4228.5	5771.5	8910.0	12147.0	17926.5	23839.0	34149.0	44501.5	61071.5	77878.5	100209.0	144100.5	177512.5	216595.0	257628.5	302610.5	347961.5	394644.5	441451.0	485222.5	526305.0	563038.0	597486.5	623983.0	645710.0	657151.5	665171.5	662911.0	654904.5	638247.5	619332.0	594443.0	566507.0	532968.0	498116.0	460022.0	421705.5	382708.0	344849.5	308333.0	272717.0	240443.0	210021.0	183982.0	159388.5	138960.5	120355.5	105068.0	91359.5	79872.5	69354.0	60957.5	53062.0	46321.5	39954.0	34971.5	30419.5	26599.5	22932.5	19985.0	16126.0	14080.0	12204.5	10305.5	8809.0	7318.0	6183.0	5154.5	4414.5	3702.5	3106.5	2511.0	2169.0	1853.5	1568.5	1278.0	1015.5	800.0	685.0	583.0	477.5	401.0	360.0	307.5	217.0	144.0
trimmed | H2AUb_Mesecto_rep2	40.0	59.0	89.0	146.0	197.0	261.5	337.5	500.0	666.0	1086.0	1515.5	2547.0	3584.5	6033.0	8604.0	14176.0	19825.5	30523.5	41447.0	60632.5	80056.5	110815.5	142049.5	187244.0	232840.0	290887.0	400866.0	480795.5	573364.0	670063.0	777252.0	887001.0	1001916.5	1116910.5	1232787.5	1346239.5	1453182.0	1555171.0	1639797.0	1716016.0	1769923.5	1813238.0	1829673.0	1832103.0	1809734.0	1778478.5	1726071.0	1664370.5	1582015.0	1494783.5	1392520.0	1285755.0	1172512.0	1060814.5	949730.5	842126.5	742384.5	646815.5	562814.5	483430.5	416814.5	355055.5	304858.0	260248.5	221917.5	186539.0	159188.0	133928.0	113544.0	94796.5	80078.5	66354.5	55997.0	46453.5	39131.0	29463.0	24783.5	21021.5	17252.5	14610.5	12060.5	10121.5	8236.5	6887.0	5611.5	4631.0	3628.5	3078.0	2601.0	2331.5	2059.0	1753.0	1473.0	1261.5	1065.5	860.0	675.5	582.5	495.0	375.5	259.0
trimmed | H2AUb_Mesecto_rep3	1266.0	1255.5	777.0	283.5	273.5	337.5	402.5	489.0	574.0	792.0	1040.0	1568.5	2116.0	3285.5	4538.0	6787.5	9084.0	13332.5	17723.5	25168.5	32736.5	44773.5	56910.5	75170.0	93673.0	117460.0	163199.0	196857.5	235700.5	277062.0	322415.5	368652.0	416977.5	464338.0	509812.5	553291.0	591239.0	626799.0	652862.5	673157.0	683025.5	689306.5	684854.0	675587.0	657425.0	635867.5	607286.5	575477.0	539210.0	503383.0	464886.0	425254.5	384358.0	344686.0	307350.5	271181.5	238266.0	207364.5	180478.0	154925.0	134078.5	114926.5	99444.5	85758.0	74596.5	64170.0	55447.5	47459.0	41171.5	35105.0	30150.5	25758.0	22283.5	18992.5	16512.5	13648.0	12014.0	10520.0	9006.5	7744.0	6592.5	5726.5	4907.5	4189.5	3540.0	2979.5	2416.0	2022.0	1701.0	1490.5	1299.5	1086.0	887.5	721.5	605.5	521.0	454.5	359.5	235.0	156.5	108.0
trimmed | H2Ax3_Endo_rep2	140.0	144.5	117.5	111.5	151.0	187.0	215.5	287.0	370.5	538.5	712.0	1021.0	1323.5	1889.5	2493.5	3713.5	4945.0	7005.5	9115.0	12215.5	15314.5	20180.0	25160.5	31788.0	38401.5	45970.0	59906.5	69751.5	80376.5	91221.5	102804.5	114083.5	125033.5	135840.5	146196.0	156139.5	165294.5	174031.5	180639.5	185986.0	188264.0	189284.5	187794.5	185193.5	180225.5	174230.0	167094.0	159319.5	149794.5	140408.5	130577.0	120213.0	109093.0	98274.0	88103.5	78283.0	69054.5	60383.5	53088.5	46264.5	40816.5	35809.0	31522.5	27644.5	24462.0	21507.5	19025.0	16755.0	14953.0	13234.0	11626.0	10101.5	9034.0	8036.0	7120.5	5924.0	5212.0	4663.5	4125.5	3615.0	3106.0	2666.5	2306.5	1954.5	1579.0	1321.0	1097.0	947.5	810.0	706.0	583.0	450.0	353.0	311.0	295.0	273.5	237.0	171.0	114.0	98.5	83.0
