Row	2	3	1.5	IVF	IVF	10	11
Xelaev18000115m.g	0.0136364	0.07	0.0391667	NA	NA	NA	NA
Xelaev18000116m.g	2.24182	0.9	1.07667	1.26603087953087	0.000517683718382089	-0.973345254700215	0.0105379086874355
Xelaev18000117m.g	0.0918182	0.223333	0.1275	NA	NA	NA	NA
Xelaev18000122m.g	64.1827	29.5333	59.4575	1.16018214102484	7.9653061902165e-15	-0.23344879221907	0.0579252539564058
Xelaev18000124m.g	0.323636	5.31667	0.385	-4.0273124400121	5.30811773891891e-39	0.0216185930829594	0.938307214314518
Xelaev18000125m.g	0.236364	0.02	0.135833	NA	NA	NA	NA
Xelaev18000132m.g	0.865455	0.826667	1.21	0.117960646156292	0.70186352253394	0.258919982170948	0.26321400678972
Xelaev18000133m.g	0.206364	0.556667	0.5975	-1.40100730478427	4.84630572906678e-05	NA	NA
Xelaev18000134m.g	6.14182	7.99	13.7775	-0.352426731662386	0.139099559853983	1.05515100882324	3.58365538936225e-05
Xelaev18000135m.g	0.00454545	0	0.00666667	NA	NA	NA	NA
Xelaev18000136m.g	47.7445	9.14	55.4783	2.39861849492427	2.99216806772931e-36	0.0113100279935532	0.925725165910592
Xelaev18000138m.g	14.41	32.2667	12.2108	-1.12792549229374	1.11588055622795e-12	-0.331389876910895	0.0443324065469806
Xelaev18000139m.g	23.5536	7.95333	43.66	1.57373234223631	4.12100398977374e-12	0.706601210822005	3.82168054265864e-07
Xelaev18000140m.g	34.5918	16.2433	39.6117	0.920630288635962	0.000108562542786378	-0.0720545309804749	0.651897384726027
Xelaev18000149m.g	0.01	0	0.0258333	NA	NA	NA	NA
Xelaev18000150m.g	0.0527273	0	0.025	NA	NA	NA	NA
Xelaev18000152m.g	0.0245455	0.0133333	0.0416667	NA	NA	NA	NA
Xelaev18000155m.g	1.08273	3.75333	1.54917	-1.74642334812642	2.38904903464113e-11	0.119938647036158	0.632639006783592
Xelaev18000156m.g	0.0363636	0.0733333	0.0775	NA	NA	NA	NA
Xelaev18000158m.g	0.105455	0.0333333	0.0483333	NA	NA	NA	NA
Xelaev18000166m.g	1.82	0.573333	1.8575	NA	NA	-0.125176165215697	0.790922984363137
Xelaev18000173m.g	11.99	12.7933	27.3508	-0.0165172407439765	0.959813189375462	1.07857055243335	0.00274753411632788
Xelaev18000174m.g	0.0436364	0.0166667	0.188333	NA	NA	NA	NA
Xelaev18000181m.g	1.16182	1.67333	2.6775	-0.409016412582674	0.221930815033742	0.995544077730922	1.77878799387602e-05
Xelaev18000182m.g	45.0055	15.8767	50.895	1.48877381226393	1.72075028286798e-09	-0.0325475984669459	0.814880758246539
Xelaev18000183m.g	0	0	0.0416667	NA	NA	NA	NA
Xelaev18000191m.g	61.7264	60.25	58.5367	0.0659224466825715	0.670063922925744	-0.272604330737487	0.0303827101672773
Xelaev18000192m.g	1.83727	1.92	1.40083	-0.0841321334464652	0.77042606958093	-0.748655999932265	0.00124898874502427
Xelaev18000193m.g	0.00272727	0.0166667	0.0025	NA	NA	NA	NA
